,naics,desc,n_naics
0,11,"Agriculture, forestry, fishing and hunting",6
1,113,Forestry and logging,6
2,1131,Timber tract operations,6
3,11311,Timber tract operations,6
4,113110,Timber tract operations,6
5,1132,Forest nurseries and gathering of forest products,6
6,11321,Forest nurseries and gathering of forest products,6
7,113210,Forest nurseries and gathering of forest products,6
8,1133,Logging,6
9,11331,Logging,6
10,113310,Logging,6
11,114,"Fishing, hunting and trapping",6
12,1141,Fishing,6
13,11411,Fishing,6
14,114112,Shellfish fishing,6
15,114111,Finfish fishing,6
16,114119,Other marine fishing,6
17,1142,Hunting and trapping,6
18,11421,Hunting and trapping,6
19,114210,Hunting and trapping,6
20,115,Support activities for agriculture and forestry,6
21,1151,Support activities for crop production,6
22,11511,Support activities for crop production,6
23,115111,Cotton ginning,6
24,115112,"Soil preparation, planting, and cultivating",6
25,115113,"Crop harvesting, primarily by machine",6
26,115114,Postharvest crop activities (except cotton ginning),6
27,115115,Farm labor contractors and crew leaders,6
28,115116,Farm management services,6
29,1152,Support activities for animal production,6
30,11521,Support activities for animal production,6
31,115210,Support activities for animal production,6
32,1153,Support activities for forestry,6
33,11531,Support activities for forestry,6
34,115310,Support activities for forestry,6
35,21,"Mining, quarrying, and oil and gas extraction",6
36,211,Oil and gas extraction,6
37,2111,Oil and gas extraction,6
38,21111,Oil and gas extraction,6
39,211111,Crude petroleum and natural gas extraction,6
40,211112,Natural gas liquid extraction,6
41,212,Mining (except oil and gas),6
42,2121,Coal mining,6
43,21211,Coal mining,6
44,212111,Bituminous coal and lignite surface mining,6
45,212112,Bituminous coal underground mining,6
46,212113,Anthracite mining,6
47,2122,Metal ore mining,6
48,21221,Iron ore mining,6
49,212210,Iron ore mining,6
50,21222,Gold ore and silver ore mining,6
51,212222,Silver ore mining,6
52,212221,Gold ore mining,6
53,21223,"Copper, nickel, lead, and zinc mining",6
54,212231,Lead ore and zinc ore mining,6
55,212234,Copper ore and nickel ore mining,6
56,212291,Uranium-radium-vanadium ore mining,6
57,21229,Other metal ore mining,6
58,212299,All other metal ore mining,6
59,2123,Nonmetallic mineral mining and quarrying,6
60,21231,Stone mining and quarrying,6
61,212311,Dimension stone mining and quarrying,6
62,212312,Crushed and broken limestone mining and quarrying,6
63,212313,Crushed and broken granite mining and quarrying,6
64,212319,Other crushed and broken stone mining and quarrying,6
65,21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",6
66,212321,Construction sand and gravel mining,6
67,212322,Industrial sand mining,6
68,212324,Kaolin and ball clay mining,6
69,212325,Clay and ceramic and refractory minerals mining,6
70,21239,Other nonmetallic mineral mining and quarrying,6
