naics,enduse_cat,not_total,end_use,total,net_electricity,fuel_oil,diesel,natural_gas,NGL_HGL,coal,other
313,Direct Uses-Total Process,TRUE,Other Process Use,2.02,1,0,0.01,1,0.1,0,0
313,Direct Uses-Total Process,TRUE,Process Cooling and Refrigeration,2.02,2,0,0,0.01,0.1,0,0
313,Direct Uses-Total Process,TRUE,Process Heating,16.03,4,0.01,0.01,12,0.1,0,0
313,End Use Not Reported,FALSE,End Use Not Reported,12,0.01,0,0,1,0.01,0,12
313,Indirect Uses-Boiler Fuel,FALSE,Indirect Uses-Boiler Fuel,20.05,1,0.01,0.02,13,0.2,6,0
313,Indirect Uses-Boiler Fuel,TRUE,CHP and/or Cogeneration Process,14.03,0,0.01,0.01,9,0.1,5,0
313,Indirect Uses-Boiler Fuel,TRUE,Conventional Boiler Use,6.02,1,0,0.01,4,0.1,1,0
313,TOTAL FUEL CONSUMPTION,FALSE,TOTAL FUEL CONSUMPTION,97,43,0.03,0.09,36,1,6,12
314,Direct Uses-Total Nonprocess,FALSE,Direct Uses-Total Nonprocess,7.09,3,0,0.05,4,0.04,0,0
314,Direct Uses-Total Nonprocess,TRUE,Conventional Electricity Generation,0.01,0,0,0.01,0,0,0,0
314,Direct Uses-Total Nonprocess,TRUE,Facility HVAC,5.02,1,0,0.01,4,0.01,0,0
314,Direct Uses-Total Nonprocess,TRUE,Facility Lighting,1,1,0,0,0,0,0,0
314,Direct Uses-Total Nonprocess,TRUE,Onsite Transportation,0.03,0.33,0,0.01,0,0.01,0,0
314,Direct Uses-Total Nonprocess,TRUE,Other Facility Support,0.04,0.33,0,0.01,0.01,0.01,0,0
314,Direct Uses-Total Nonprocess,TRUE,Other Nonprocess Use,0.03,0.33,0,0.01,0,0.01,0,0
314,Direct Uses-Total Process,FALSE,Direct Uses-Total Process,12.06,6,0,0.03,6,0.03,0,0
314,Direct Uses-Total Process,TRUE,Electro-Chemical Processes,0.01,0.01,0,0,0,0,0,0
314,Direct Uses-Total Process,TRUE,Machine Drive,5.03,4.6,0,0.01,0.01,0.01,0,0
314,Direct Uses-Total Process,TRUE,Other Process Use,0.04,0.01,0,0.01,0.01,0.01,0,0
314,Direct Uses-Total Process,TRUE,Process Cooling and Refrigeration,1,0.7,0,0,0,0,0,0
314,Direct Uses-Total Process,TRUE,Process Heating,7.02,0.7,0,0.01,6,0.01,0,0
314,End Use Not Reported,FALSE,End Use Not Reported,1,0.01,0,0.01,0.01,0.01,0,0.01
314,Indirect Uses-Boiler Fuel,FALSE,Indirect Uses-Boiler Fuel,8.06,0.01,0.01,0.02,7,0.02,1,0
314,Indirect Uses-Boiler Fuel,TRUE,CHP and/or Cogeneration Process,3.03,0,0.01,0.01,2,0.01,1,0
314,Indirect Uses-Boiler Fuel,TRUE,Conventional Boiler Use,4.04,0.01,0,0.01,4,0.01,0.01,0
314,TOTAL FUEL CONSUMPTION,FALSE,TOTAL FUEL CONSUMPTION,27,9,0.01,0.11,16,1,1,0.01
315,Direct Uses-Total Nonprocess,FALSE,Direct Uses-Total Nonprocess,1.06,1,0,0.02,0.45,0.02,0,0
315,Direct Uses-Total Nonprocess,TRUE,Conventional Electricity Generation,0,0,0,0,0,0,0,0
315,Direct Uses-Total Nonprocess,TRUE,Facility HVAC,1.03,1,0,0.01,0.225,0.01,0,0
315,Direct Uses-Total Nonprocess,TRUE,Facility Lighting,0.01,0.01,0,0,0,0,0,0
315,Direct Uses-Total Nonprocess,TRUE,Onsite Transportation,0.03,0.01,0,0.01,0,0.01,0,0
315,Direct Uses-Total Nonprocess,TRUE,Other Facility Support,0.02,0.01,0,0,0.225,0,0,0
315,Direct Uses-Total Nonprocess,TRUE,Other Nonprocess Use,0,0,0,0,0,0,0,0
315,Direct Uses-Total Process,FALSE,Direct Uses-Total Process,1.06,1,0,0.01,0.4,0.02,0,0
315,Direct Uses-Total Process,TRUE,Electro-Chemical Processes,0.01,0.01,0,0,0,0,0,0
315,Direct Uses-Total Process,TRUE,Machine Drive,1.01,1,0,0,0.1,0,0,0
315,Direct Uses-Total Process,TRUE,Other Process Use,0.03,0,0,0.01,0.1,0.01,0,0
